match_id,date,team1,team2,toss_winner,toss_decision,winner,winner_wickets,player_of_match,venue,city,innings1_total_runs,innings2_total_runs,innings3_total_runs,innings4_total_runs,innings1_powerplay_runs,innings2_powerplay_runs,innings3_powerplay_runs,innings4_powerplay_runs,innings1_death_over_runs,innings2_death_over_runs,innings3_death_over_runs,innings4_death_over_runs,innings1_total_wickets,innings2_total_wickets,innings3_total_wickets,innings4_total_wickets,innings1_boundary_count,innings2_boundary_count,innings3_boundary_count,innings4_boundary_count,innings1_dot_ball_count,innings2_dot_ball_count,innings3_dot_ball_count,innings4_dot_ball_count
1462661,2024/12/13,Biratnagar Kings,Chitwan Rhinos,Biratnagar Kings,bat,Biratnagar Kings,,Basir Ahamad,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,181,130,0,0,32,37,0,0,69,33,0,0,5,6,0,0,19,15,0,0,40,54,0,0
1462662,2024/12/14,Pokhara Avengers,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,6.0,SS Eskinazi,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,138,142,0,0,44,59,0,0,39,0,0,0,8,4,0,0,14,23,0,0,50,29,0,0
1462663,2024/12/14,Chitwan Rhinos,Janakpur Bolts,Chitwan Rhinos,bat,Chitwan Rhinos,,Kushal Malla,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,180,148,0,0,44,39,0,0,49,7,0,0,5,10,0,0,23,23,0,0,47,51,0,0
1462664,2024/12/15,Biratnagar Kings,Kathmandu Gurkhas,Kathmandu Gurkhas,field,Kathmandu Gurkhas,1.0,D Kandel,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,117,120,0,0,45,39,0,0,26,19,0,0,10,9,0,0,9,14,0,0,48,55,0,0
1462665,2024/12/15,Sudur Paschim Royals,Pokhara Avengers,Pokhara Avengers,field,Sudur Paschim Royals,,SC Kuggeleijn,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,153,148,0,0,50,41,0,0,34,43,0,0,7,10,0,0,13,18,0,0,44,52,0,0
1462666,2024/12/16,Karnali Yaks,Sudur Paschim Royals,Sudur Paschim Royals,field,Sudur Paschim Royals,6.0,DS Airee,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,101,105,0,0,35,30,0,0,18,0,0,0,10,4,0,0,12,13,0,0,63,42,0,0
1462667,2024/12/18,Karnali Yaks,Chitwan Rhinos,Chitwan Rhinos,field,Karnali Yaks,,CAK Walton,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,175,154,0,0,49,47,0,0,48,36,0,0,6,9,0,0,22,18,0,0,42,48,0,0
1462668,2024/12/18,Janakpur Bolts,Sudur Paschim Royals,Janakpur Bolts,bat,Sudur Paschim Royals,8.0,B Bhandari,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,139,141,0,0,37,48,0,0,40,22,0,0,9,2,0,0,15,15,0,0,46,45,0,0
1462669,2024/12/19,Karnali Yaks,Janakpur Bolts,Janakpur Bolts,field,Janakpur Bolts,2.0,JDS Neesham,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,118,119,0,0,44,26,0,0,15,23,0,0,9,8,0,0,13,11,0,0,63,51,0,0
1462670,2024/12/21,Sudur Paschim Royals,Janakpur Bolts,Sudur Paschim Royals,bat,Janakpur Bolts,5.0,BKEL Milantha,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,184,185,0,0,48,71,0,0,35,11,0,0,9,5,0,0,20,22,0,0,38,38,0,0
